      0.125E+00      0.400E+01      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
      0.125E+00      0.108E+03      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.134E+03      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.148E+03      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.164E+03      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.872E+03      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.532E+04      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.668E+05      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.175E+06      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.712E+05      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
      0.125E+00      0.516E+05      0.900E+02      0.100E+01      0.625E+02      0.125E+00      0.000E+00
      0.125E+00      0.362E+06      0.800E+02      0.100E+01      0.556E+02      0.125E+00      0.000E+00
      0.125E+00      0.552E+06      0.700E+02      0.100E+01      0.486E+02      0.125E+00      0.000E+00
      0.125E+00      0.106E+07      0.600E+02      0.100E+01      0.417E+02      0.125E+00      0.000E+00
      0.125E+00      0.652E+06      0.500E+02      0.100E+01      0.347E+02      0.125E+00      0.000E+00
      0.125E+00      0.564E+06      0.400E+02      0.100E+01      0.278E+02      0.125E+00      0.000E+00
      0.125E+00      0.125E+07      0.300E+02      0.100E+01      0.208E+02      0.125E+00      0.000E+00
      0.125E+00      0.137E+07      0.200E+02      0.100E+01      0.139E+02      0.125E+00      0.000E+00
      0.125E+00      0.480E+06      0.100E+02      0.100E+01      0.694E+01      0.125E+00      0.000E+00
      0.125E+00      0.240E+07      0.500E+01      0.100E+01      0.347E+01      0.125E+00      0.000E+00
      0.125E+00      0.100E+02      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
      0.125E+00      0.100E+02      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
