 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    1
    8.622E+07    1.728E+07         9.283E-01         7.217E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.601E+07    1.707E+07         9.260E-01         7.131E-01   1    0
    7.954E+07    1.060E+07         8.564E-01         4.427E-01   0    1
    7.765E+07    8.705E+06         8.360E-01         3.636E-01   1    0
    8.291E+07    1.397E+07         8.927E-01         5.837E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.518E+07    1.624E+07         9.171E-01         6.785E-01   1    0
    8.426E+07    1.532E+07         9.072E-01         6.398E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.855E+07    9.613E+06         8.457E-01         4.015E-01   2    2
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.172E+07    2.775E+06         7.721E-01         1.159E-01   0    1
    7.569E+07    6.745E+06         8.149E-01         2.818E-01   6    0
    8.350E+07    1.456E+07         8.990E-01         6.081E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.260E+07    2.366E+07         9.969E-01         9.881E-01   0    3
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.180E+07    2.286E+07         9.883E-01         9.547E-01   1    0
    8.000E+07    1.106E+07         8.613E-01         4.619E-01   0    1
    7.537E+07    6.433E+06         8.115E-01         2.687E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.998E+07    1.104E+07         8.611E-01         4.613E-01   0    1
    7.637E+07    7.424E+06         8.222E-01         3.101E-01   1    1
    8.515E+07    1.620E+07         9.167E-01         6.769E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.370E+07    4.760E+06         7.935E-01         1.988E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.002E+07    1.108E+07         8.616E-01         4.629E-01   0    1
    8.257E+07    1.363E+07         8.890E-01         5.695E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.139E+07    1.245E+07         8.763E-01         5.199E-01   1    0
    7.315E+07    4.208E+06         7.876E-01         1.758E-01   1    0
    7.793E+07    8.988E+06         8.390E-01         3.755E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.724E+07    1.830E+07         9.393E-01         7.646E-01   0    1
    7.834E+07    9.403E+06         8.435E-01         3.928E-01   2    2
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.010E+07    2.116E+07         9.701E-01         8.838E-01   1    0
    8.208E+07    1.314E+07         8.838E-01         5.490E-01   0    1
    9.086E+07    2.191E+07         9.782E-01         9.154E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    2
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.767E+07    8.727E+06         8.362E-01         3.645E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.116E+07    2.223E+06         7.662E-01         9.286E-02   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    7.894E+07    9.999E+06         8.499E-01         4.177E-01   5    3
    7.526E+07    6.321E+06         8.103E-01         2.640E-01   0    1
    8.886E+07    1.992E+07         9.567E-01         8.319E-01   0    1
    6.875E+07   -1.949E+05         7.402E-01        -8.139E-03   0    0
    7.529E+07    6.345E+06         8.106E-01         2.650E-01   0    1
    8.671E+07    1.777E+07         9.336E-01         7.424E-01   0    1
    7.607E+07    7.129E+06         8.190E-01         2.978E-01   1    0
    4.424E+07   -2.470E+07         4.763E-01        -1.032E+00   0    0
    9.263E+07    2.369E+07         9.973E-01         9.897E-01   2    0
    8.595E+07    1.701E+07         9.254E-01         7.107E-01   1    0
    8.117E+07    1.223E+07         8.739E-01         5.108E-01   1    1
    8.575E+07    1.681E+07         9.232E-01         7.021E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.796E+07    1.902E+07         9.470E-01         7.944E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
